title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url,duration_ms,time_signature
['Maps'],['Yeah Yeah Yeahs'],['0hDQV9X1Da5JrwhK8gu86p'],0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,https://api.spotify.com/v1/tracks/0hDQV9X1Da5JrwhK8gu86p,https://api.spotify.com/v1/audio-analysis/0hDQV9X1Da5JrwhK8gu86p,219987,4
"[""Don't Delete The Kisses""]",['Wolf Alice'],['3K94Fd5ZQkPCW8wV6oyk22'],0.604,0.789,5,-6.259,1,0.0273,0.0011,0.828,0.368,0.348,122.032,https://api.spotify.com/v1/tracks/3K94Fd5ZQkPCW8wV6oyk22,https://api.spotify.com/v1/audio-analysis/3K94Fd5ZQkPCW8wV6oyk22,275227,4
['Yellow'],['Coldplay'],['3AJwUDP919kvQ9QcozQPxg'],0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4
"[""Nothing's Gonna Hurt You Baby""]",['Cigarettes After Sex'],['3GhsBdS9ulPK3KCdwHRPhG'],0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848,https://api.spotify.com/v1/tracks/3GhsBdS9ulPK3KCdwHRPhG,https://api.spotify.com/v1/audio-analysis/3GhsBdS9ulPK3KCdwHRPhG,286293,4
['Dark Red'],['Steve Lacy'],['3EaJDYHA0KnX88JvDhL9oa'],0.603,0.784,6,-4.023,1,0.062,0.446,8.32e-06,0.119,0.769,172.041,https://api.spotify.com/v1/tracks/3EaJDYHA0KnX88JvDhL9oa,https://api.spotify.com/v1/audio-analysis/3EaJDYHA0KnX88JvDhL9oa,173104,4
['I Wanna Be Yours'],['Arctic Monkeys'],['5XeFesFbtLpXzIVDNQP22n'],0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n,https://api.spotify.com/v1/audio-analysis/5XeFesFbtLpXzIVDNQP22n,183956,4
['Cosmic Love'],['Florence + The Machine'],['0CSTvWUps1YmpQoXXay9ol'],0.524,0.803,9,-5.56,0,0.0366,0.145,0.000191,0.115,0.0827,140.003,https://api.spotify.com/v1/tracks/0CSTvWUps1YmpQoXXay9ol,https://api.spotify.com/v1/audio-analysis/0CSTvWUps1YmpQoXXay9ol,255133,4
"['Archie, Marry Me']",['Alvvays'],['0KVWVuutF9Dn8li4HdyAeU'],0.268,0.829,7,-4.592,1,0.0743,0.00986,0.434,0.142,0.203,117.351,https://api.spotify.com/v1/tracks/0KVWVuutF9Dn8li4HdyAeU,https://api.spotify.com/v1/audio-analysis/0KVWVuutF9Dn8li4HdyAeU,196560,4
['we fell in love in october'],['girl in red'],['6IPwKM3fUUzlElbvKw2sKl'],0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,https://api.spotify.com/v1/tracks/6IPwKM3fUUzlElbvKw2sKl,https://api.spotify.com/v1/audio-analysis/6IPwKM3fUUzlElbvKw2sKl,184154,4
['Everybody Wants to Love You'],['Japanese Breakfast'],['38OvTFIg5ZYRow2sA1jgKo'],0.481,0.876,7,-3.263,1,0.0345,0.408,0.153,0.283,0.682,129.921,https://api.spotify.com/v1/tracks/38OvTFIg5ZYRow2sA1jgKo,https://api.spotify.com/v1/audio-analysis/38OvTFIg5ZYRow2sA1jgKo,132632,4
['Sparks'],['Coldplay'],['7D0RhFcb3CrfPuTJ0obrod'],0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,https://api.spotify.com/v1/tracks/7D0RhFcb3CrfPuTJ0obrod,https://api.spotify.com/v1/audio-analysis/7D0RhFcb3CrfPuTJ0obrod,227093,3
['Apocalypse'],['Cigarettes After Sex'],['3AVrVz5rK8Hrqo9YGiVGN5'],0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,https://api.spotify.com/v1/tracks/3AVrVz5rK8Hrqo9YGiVGN5,https://api.spotify.com/v1/audio-analysis/3AVrVz5rK8Hrqo9YGiVGN5,290147,4
